NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT01608217,Delta-THC in Dementia,https://clinicaltrials.gov/study/NCT01608217,COMPLETED,Behavioural Disturbances|Pain|Dementia|Alzheimer's Dementia|Vascular Dementia,DRUG: delta-9-tetrahydrocannabinol (delta-THC)|DRUG: Placebo|DRUG: Acetaminophen|DRUG: Acetaminophen,Radboud University Medical Center,"Health Valley, Netherlands",INTERVENTIONAL
NCT00000173,Memory Impairment Study (Mild Cognitive Impairment Study),https://clinicaltrials.gov/study/NCT00000173,COMPLETED,Alzheimer Disease,DRUG: Donepezil|DRUG: Vitamin E,National Institute on Aging (NIA),Alzheimer's Disease Cooperative Study (ADCS),INTERVENTIONAL
NCT02968719,"A Phase 1, Corplex™ Donepezil Transdermal System Compared to Oral Aricept®",https://clinicaltrials.gov/study/NCT02968719,COMPLETED,Alzheimer Disease,DRUG: Donepezil TDS Version A|DRUG: Donepezil TDS Version B|DRUG: Aricept|DRUG: Donepezil TDS Version D|DRUG: Donepezil TDS Version E,"Corium, Inc.",,INTERVENTIONAL
NCT03786510,A Study on the Effectiveness of Multidomain Intervention Program for Reducing Risks of Dementia,https://clinicaltrials.gov/study/NCT03786510,COMPLETED,Alzheimer Disease,BEHAVIORAL: Active control|BEHAVIORAL: Intensive + Maintenance program|BEHAVIORAL: Intensive program only,Seoul National University Hospital,Seoul Metropolitan Government,INTERVENTIONAL
NCT03688126,U.S. Study to Protect Brain Health Through Lifestyle Intervention to Reduce Risk,https://clinicaltrials.gov/study/NCT03688126,COMPLETED,Alzheimer Disease,BEHAVIORAL: Self-Guided Lifestyle Intervention|BEHAVIORAL: Structured Lifestyle Intervention,Wake Forest University Health Sciences,Alzheimer's Association,INTERVENTIONAL
NCT01020838,Phase III Study of Florbetaben (BAY94-9172) PET Imaging for Detection/Exclusion of Cerebral β-amyloid Compared to Histopathology,https://clinicaltrials.gov/study/NCT01020838,COMPLETED,Alzheimer Disease,DRUG: Florbetaben (BAY94-9172),Life Molecular Imaging SA,,INTERVENTIONAL
NCT04434898,The Assessment of the Diagnosis and Prognosis of Patients With Alzheimer Disease or Parkinson Disease With Cognitive Impairment by Using Diffusion MRI,https://clinicaltrials.gov/study/NCT04434898,COMPLETED,Alzheimer Disease|Parkinson Disease,,Chang Gung Memorial Hospital,,OBSERVATIONAL
NCT02414178,F 18 T807 Tau PET Imaging in Dominantly Inherited Alzheimer's Network (DIAN Project),https://clinicaltrials.gov/study/NCT02414178,ENROLLING_BY_INVITATION,Alzheimer Disease,DRUG: F 18 T807,Washington University School of Medicine,,OBSERVATIONAL
NCT00000177,Estrogen Hormone Protocol,https://clinicaltrials.gov/study/NCT00000177,COMPLETED,Alzheimer Disease,DRUG: Estrogen,National Institute on Aging (NIA),,INTERVENTIONAL
NCT06631144,A Spanish-language Caregiver-Enabled Care Program,https://clinicaltrials.gov/study/NCT06631144,ACTIVE_NOT_RECRUITING,Dementia|Dementia Alzheimers|Alzheimer Disease|Caregiver|Caregiver Burden,BEHAVIORAL: Spanish-language Caregiver-Enabled Care Program (CECP),"Ceresti Health, Inc.",National Institute on Aging (NIA),INTERVENTIONAL
NCT03384069,CBT for African Americans With Cognitive Impairment,https://clinicaltrials.gov/study/NCT03384069,COMPLETED,Alzheimer Disease,BEHAVIORAL: Group-based Cognitive Behavioral Therapy (CBT)|BEHAVIORAL: Phone-based Cognitive Behavioral Therapy (CBT),Emory University,Alzheimer's Association,INTERVENTIONAL
NCT04113577,COgilus Remediation in Alzheimer Patients (CORA),https://clinicaltrials.gov/study/NCT04113577,UNKNOWN,Patient Satisfaction|Neurocognitive Disorders,OTHER: usability survey,"University Hospital, Angers",,OBSERVATIONAL
NCT03698760,Computerized Olfactory Test - Alzheimer Disease Mild Stage,https://clinicaltrials.gov/study/NCT03698760,COMPLETED,Alzheimer Disease|Olfaction Disorders,DIAGNOSTIC_TEST: Olfactory test,Jewish General Hospital,,INTERVENTIONAL
NCT03030105,Study to Evaluate the Effects of BPN14770 on Scopolamine-induced Cognitive Impairment in Healthy Volunteers,https://clinicaltrials.gov/study/NCT03030105,COMPLETED,Alzheimer Disease,DRUG: BPN14770|DRUG: BPN14770 placebo|DRUG: Donepezil|DRUG: Donepezil placebo|DRUG: Scopolamine 0.6 MG/ML|DRUG: Scopolamine placebo,Tetra Discovery Partners,,INTERVENTIONAL
NCT01689948,Alzheimer Disease : Rehabilitation's Intervention at Home,https://clinicaltrials.gov/study/NCT01689948,TERMINATED,Alzheimer's Disease,BEHAVIORAL: Home rehabilitation therapy,Nantes University Hospital,,INTERVENTIONAL
NCT06213766,Spatial and Ocular Trajectories for the Early Diagnosis of Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT06213766,UNKNOWN,Alzheimer Disease|Aging,DIAGNOSTIC_TEST: Cognitive assessment|OTHER: Questionnaires|DEVICE: Spatial navigation task with eye-tracking.|BIOLOGICAL: Blood sampling,Hospices Civils de Lyon,,INTERVENTIONAL
NCT02564692,GeneMatch: A Program of the Alzheimer's Prevention Registry to Match Individuals to Studies Based on Apolipoprotein E (APOE) Genotype,https://clinicaltrials.gov/study/NCT02564692,ENROLLING_BY_INVITATION,Alzheimer Disease,,Banner Health,,OBSERVATIONAL
NCT07213349,Daridorexant for Alzheimer Disease Prevention,https://clinicaltrials.gov/study/NCT07213349,RECRUITING,Alzheimer Disease (AD),DRUG: Daridorexant 50 mg|DRUG: Placebo,Douglas Mental Health University Institute,Weston Family Foundation,INTERVENTIONAL
NCT03447613,Retinal Nerve Fiber Layer Thickness and Cerebrospinal Fluid Aβ/Tau,https://clinicaltrials.gov/study/NCT03447613,COMPLETED,Alzheimer Disease,PROCEDURE: surgery,Shanghai 10th People's Hospital,Massachusetts General Hospital,OBSERVATIONAL
NCT00366483,Study Evaluating the Safety of Lecozotan SR in Healthy Young and Elderly Subjects,https://clinicaltrials.gov/study/NCT00366483,COMPLETED,Alzheimer Disease,DRUG: Lecozotan SR,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT05847153,MASC: Reducing Stress for Caregivers,https://clinicaltrials.gov/study/NCT05847153,COMPLETED,Alzheimer Disease and Related Dementias|Dementia Alzheimers,BEHAVIORAL: MASC,Massachusetts General Hospital,National Institutes of Health (NIH)|National Institute on Aging (NIA),INTERVENTIONAL
NCT05882344,Cholinergic Deep Brain Stimulation for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05882344,ENROLLING_BY_INVITATION,"Alzheimer Disease, Early Onset|Dementia|Alzheimer Disease","PROCEDURE: Device Implantation- Boston Scientific, VERCISE GENUS™ system|DEVICE: DBS Stimulation - Boston Scientific, VERCISE GENUS™ system",Vanderbilt University Medical Center,Boston Scientific Corporation,INTERVENTIONAL
NCT03757910,Brain Imaging in the Diabetes Prevention Program Outcomes Study,https://clinicaltrials.gov/study/NCT03757910,TERMINATED,Alzheimer Disease,DRUG: 18F-MK-6240|DRUG: 11C-PIB,José A. Luchsinger,Albert Einstein College of Medicine|George Washington University|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),INTERVENTIONAL
NCT02178124,"A Phase I Clinical Study, Randomized, Single-blind, Placebo-controlled, Multiple Doses, Dose Escalation Study of the Safety, Tolerability and Pharmacokinetics of Donepezil Patch in Healthy Male Subjects.",https://clinicaltrials.gov/study/NCT02178124,COMPLETED,Alzheimer Disease,DRUG: Donepezil|DRUG: placebo,Icure Pharmaceutical Inc.,,INTERVENTIONAL
NCT02172612,A Pilot Study to Reduce Inappropriate Anticholinergic Prescribing in the Elderly,https://clinicaltrials.gov/study/NCT02172612,COMPLETED,Alzheimer Disease,OTHER: Arm 1 Education Session,Daniela Moga,,INTERVENTIONAL
NCT06797817,Tributyrin Treatment in Mild Alzheimer Disease: Assessment of Butyrate Effects Via the Gut-Brain,https://clinicaltrials.gov/study/NCT06797817,NOT_YET_RECRUITING,Alzheimer Disease (AD),DIETARY_SUPPLEMENT: tributyrin|OTHER: Placebo,Universidad de Almeria,,INTERVENTIONAL
NCT01434940,Eye Movement Recording as an Early Differential Diagnostic Tool for Alzheimer/Depression,https://clinicaltrials.gov/study/NCT01434940,UNKNOWN,Alzheimer Disease|Depression,OTHER: Eye movements will be recorded using video-oculography techniques based on both the corneal reflection principle and an infra-red light beam,Centre Hospitalier Universitaire de Besancon,Laboratoire de psychologie EA 3188|Centre Hospitalier Universitaire Dijon|Centre Hospitalier de Novillars,INTERVENTIONAL
NCT05709210,Pilot Study on the Feasibility of Using Smartphone Data as a Diagnostic Marker for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05709210,RECRUITING,Alzheimer Disease|Memory Disorders,OTHER: Recording of smartphone usage data,Poitiers University Hospital,University of Poitiers,INTERVENTIONAL
NCT01860625,"A Phase I Clinical, Dose Escalation Study of the Safety, Tolerability and Pharmacokinetics of Donepezil Patch in Healthy Male Subjects",https://clinicaltrials.gov/study/NCT01860625,COMPLETED,Alzheimer Disease,DRUG: Donepezil patch|DRUG: placebo,Icure Pharmaceutical Inc.,,INTERVENTIONAL
NCT03226522,Addressing Dementia Via Agitation-Centered Evaluation,https://clinicaltrials.gov/study/NCT03226522,COMPLETED,"Agitation in Patients With Dementia of the Alzheimer's Type|Alzheimer Disease|Agitation,Psychomotor",DRUG: AXS-05|DRUG: Bupropion|DRUG: Placebo,"Axsome Therapeutics, Inc.",,INTERVENTIONAL
NCT06019117,Effectiveness of Probiotic K10 in Managing Health Outcomes in Parkinson and Alzheimer Disease,https://clinicaltrials.gov/study/NCT06019117,COMPLETED,Parkinson Disease|Alzheimer Disease,DIETARY_SUPPLEMENT: Probiotic K10|DRUG: Placebo,Deivis de Oliveira guimaraes,,INTERVENTIONAL
NCT05637801,"A Pivotal Study of Sensory Stimulation in Alzheimer's Disease (Hope Study, CA-0011)",https://clinicaltrials.gov/study/NCT05637801,ACTIVE_NOT_RECRUITING,"Alzheimer Disease|Alzheimer Disease 1|Alzheimer Disease 2|Alzheimer Disease 3|Alzheimer Disease, Early Onset|Alzheimer Disease, Late Onset|Alzheimer Disease 9|Alzheimer Disease 4|Alzheimer Disease 7|Alzheimer Disease 17|Alzheimer's Dementia Late Onset|Alzheimer Disease 5|Alzheimer Disease 6|Alzheimer Disease 8|Alzheimer Disease 10|Alzheimer Disease 11|Alzheimer Disease 12|Alzheimer Disease 13|Alzheimer Disease 14|Alzheimer Disease 15|Alzheimer Disease 16|Alzheimer Disease 18|Alzheimer Disease 19|Dementia|Dementia Alzheimers|Dementia, Mild|Dementia of Alzheimer Type|Dementia Moderate|Dementia Senile|Mild Cognitive Impairment|Mild Dementia|MCI|Cognitive Impairment|Cognitive Decline|Cognitive Impairment, Mild",DEVICE: Sensory Stimulation System (GS120) - Active|DEVICE: Sensory Stimulation System (GS120) - Sham,"Cognito Therapeutics, Inc.",,INTERVENTIONAL
NCT02340195,Pharmacokinetic Properties of Idalopirdine (Lu AE58054) in Subjects With and Without Impaired Kidney Function,https://clinicaltrials.gov/study/NCT02340195,COMPLETED,Alzheimer Disease,DRUG: Idalopirdine (Lu AE58054) 60 mg,H. Lundbeck A/S,,INTERVENTIONAL
NCT01564706,A Study of 18F-AV-45 in Healthy Volunteers,https://clinicaltrials.gov/study/NCT01564706,COMPLETED,Alzheimer Disease,DRUG: florbetapir F 18,Avid Radiopharmaceuticals,,INTERVENTIONAL
NCT02578303,Association Between Cerebral Arterial Vascular Flow and Sleep Apnea in Neurodegenerative Alterations,https://clinicaltrials.gov/study/NCT02578303,UNKNOWN,Alzheimer Disease,OTHER: Vascular flow measurement by PC-MRI,Central Hospital Saint Quentin,,INTERVENTIONAL
NCT05077579,"Alzheimer""s Imaging Biomarkers in Obesity",https://clinicaltrials.gov/study/NCT05077579,RECRUITING,Alzheimer Disease|Obesity|Metabolic Disease,,Cyrus A Raji,,OBSERVATIONAL
NCT01297036,Pharmacokinetic Comparisons of Two Donepezil Formulations,https://clinicaltrials.gov/study/NCT01297036,COMPLETED,Alzheimer Disease,"DRUG: Donepezil, ODT 10 mg|DRUG: Donepezil, 10 mg tablet",Korea University Anam Hospital,Chong Kun Dang Pharmaceutical Corp.,INTERVENTIONAL
NCT07140601,Environmental Pollutants and Neurological Disorders,https://clinicaltrials.gov/study/NCT07140601,RECRUITING,Cerebrovascular Disorders|Brain Tumours|Alzheimer Dementia,,Beijing Tiantan Hospital,Chinese Research Academy of Environmental Sciences|Nanjing University|Nanjing Institute of Environmental Sciences|Chinese Academy of Environmental Planning|Peking Union Medical College|National Human Brain Bank for Development and Function,OBSERVATIONAL
NCT01057030,Multiple Dose Japanese Bridging Study,https://clinicaltrials.gov/study/NCT01057030,COMPLETED,Alzheimer Disease,DRUG: BMS-708163|DRUG: Placebo,Bristol-Myers Squibb,,INTERVENTIONAL
NCT01042314,Drug-Drug Interaction Study With Aricept® (Donepezil),https://clinicaltrials.gov/study/NCT01042314,COMPLETED,Alzheimer Disease,DRUG: Donepezil|DRUG: BMS-708163,Bristol-Myers Squibb,,INTERVENTIONAL
NCT01039194,Drug-Drug Interaction to Study the Effect of BMS-708163 on Pharmacokinetics (PK) of Galantamine Extended Release (ER),https://clinicaltrials.gov/study/NCT01039194,COMPLETED,Alzheimer Disease,DRUG: galantamine|DRUG: galantamine|DRUG: BMS-708163,Bristol-Myers Squibb,,INTERVENTIONAL
NCT01002079,Drug-Drug Interaction Study With Rifampin,https://clinicaltrials.gov/study/NCT01002079,COMPLETED,Alzheimer Disease,DRUG: BMS-708163|DRUG: Rifampin|DRUG: Rifampin,Bristol-Myers Squibb,PRA Health Sciences,INTERVENTIONAL
NCT00979316,Effect on the Electrocardiographic QT Interval Corrected for Heart Rate (QTc) in Healthy Subjects,https://clinicaltrials.gov/study/NCT00979316,COMPLETED,Alzheimer Disease,DRUG: BMS-708163|DRUG: BMS-708163|DRUG: Placebo|DRUG: Moxifloxacin,Bristol-Myers Squibb,,INTERVENTIONAL
NCT02360657,Study Investigating the Effects of JNJ-54861911 on Amyloid-beta Processing in Cerebrospinal Fluid (CSF) and Plasma in Japanese Participants Asymptomatic at Risk for Alzheimer Dementia,https://clinicaltrials.gov/study/NCT02360657,COMPLETED,Alzheimer's Disease,"DRUG: JNJ-54861911, 10 mg|DRUG: JNJ-54861911, 50 mg|DRUG: Placebo",Janssen Pharmaceutical K.K.,,INTERVENTIONAL
NCT00906191,Study Evaluating How Quickly And To What Extent The 14-Carbon-SAM-531 Is Absorbed/Converted/Eliminated In Male Subjects,https://clinicaltrials.gov/study/NCT00906191,COMPLETED,Alzheimer Disease,DRUG: SAM-531,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00860275,Drug-Drug Interaction (DDI) w/Ketoconazole or Fluconazole,https://clinicaltrials.gov/study/NCT00860275,COMPLETED,Alzheimer Disease,DRUG: BMS-708163|DRUG: BMS-708163 + Ketoconazole|DRUG: Ketoconazole|DRUG: Fluconazole|DRUG: BMS-708163 + Fluconazole,Bristol-Myers Squibb,,INTERVENTIONAL
NCT06731842,Molecular PET Imaging and Plasma Biomarkers in Alzheimer´s Disease and Other Neurodegenerative Diseases,https://clinicaltrials.gov/study/NCT06731842,ENROLLING_BY_INVITATION,Alzheimer´s Disease,OTHER: 18F-RO948,Karolinska Institutet,,INTERVENTIONAL
NCT00765115,A Study of Healthy Subjects to Assess the Effect of LY450139 on Amyloid Beta Peptide Production Rate and or Dose Response.,https://clinicaltrials.gov/study/NCT00765115,COMPLETED,Alzheimer Disease,DRUG: LY450139|DRUG: placebo,Eli Lilly and Company,,INTERVENTIONAL
NCT00745576,Study Evaluating The Potential Interaction Between Verapamil Immediate Release And SAM-531 When Co-Administered,https://clinicaltrials.gov/study/NCT00745576,COMPLETED,Alzheimer Disease,DRUG: SAM-531,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00726115,"Study Evaluating Safety, Tolerability and Pharmacokinetics of Single and Multiple Dose of SAM-531",https://clinicaltrials.gov/study/NCT00726115,COMPLETED,Alzheimer Disease,DRUG: SAM-531|DRUG: placebo,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT07187141,Nasal Protollin in Early Symptomatic Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07187141,COMPLETED,Alzheimer Disease (AD),DRUG: Protollin,Brigham and Women's Hospital,I-Mab Biopharma US Limited,INTERVENTIONAL
NCT00563732,Study Evaluating Potential Pharmacokinetic (PK) Interaction Between Lecozotan and Digoxin,https://clinicaltrials.gov/study/NCT00563732,COMPLETED,Alzheimer Disease,DRUG: Lecozotan,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00494962,Study Comparing Lecozotan SR Two 5-mg Tablets Vs. Lecozotan SR One 10-mg Tablet in Healthy Subjects,https://clinicaltrials.gov/study/NCT00494962,COMPLETED,Alzheimer Disease,DRUG: lecozotan SR,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00480818,"Study Evaluating the Safety, Pharmacokinetics, and Pharmacodynamics of SAM-531 in Healthy Young and Elderly Subjects",https://clinicaltrials.gov/study/NCT00480818,COMPLETED,Alzheimer Disease,DRUG: SAM-531,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00480467,"Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SAM-315 in Healthy Japanese Males",https://clinicaltrials.gov/study/NCT00480467,COMPLETED,Alzheimer Disease,DRUG: SAM-315,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00479700,"Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SAM-531 in Healthy Subjects",https://clinicaltrials.gov/study/NCT00479700,COMPLETED,Alzheimer Disease,DRUG: SAM-531,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00479440,"Study Evaluating the Safety, Tolerability, Pharmacokinetics (PK), and Pharmacodynamics (PD) of SAM-315 in Healthy Adults",https://clinicaltrials.gov/study/NCT00479440,COMPLETED,Alzheimer Disease,DRUG: SAM-315,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00479349,"Study Evaluating the Safety, Pharmacokinetics, and Pharmacodynamics of SAM-531",https://clinicaltrials.gov/study/NCT00479349,COMPLETED,Alzheimer Disease,DRUG: SAM-531,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00479297,"Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SAM-531 in Healthy Japanese Males",https://clinicaltrials.gov/study/NCT00479297,COMPLETED,Alzheimer Disease,DRUG: SAM-531,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00474552,"Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SAM-315",https://clinicaltrials.gov/study/NCT00474552,TERMINATED,Alzheimer Disease,DRUG: SAM-315,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT00453544,Enhancing Consent for Alzheimer's Research,https://clinicaltrials.gov/study/NCT00453544,COMPLETED,Alzheimer Disease,OTHER: Enhanced Consent Procedure|OTHER: Routine Consent Procedure,"University of California, San Diego",National Institute on Aging (NIA),INTERVENTIONAL
NCT00452504,Single Ascending Dose Study of SRA-444 in Healthy Subjects,https://clinicaltrials.gov/study/NCT00452504,COMPLETED,Alzheimer Disease,DRUG: SRA-444,Wyeth is now a wholly owned subsidiary of Pfizer,,INTERVENTIONAL
NCT07135245,Improved Treatment and Monitoring of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07135245,NOT_YET_RECRUITING,Alzheimer Disease (AD),DRUG: Semaglutide (Rybelsus®) combined with other interventions|OTHER: Placebo|DRUG: Semaglutide (Rybelsus®),Rune Skovgaard Rasmussen,Herlev Hospital,INTERVENTIONAL
NCT00366288,Study Evaluating PAZ-417 in Healthy Young/Elderly,https://clinicaltrials.gov/study/NCT00366288,COMPLETED,Alzheimer Disease,DRUG: PAZ-417,Wyeth is now a wholly owned subsidiary of Pfizer,,OBSERVATIONAL
NCT07115251,Plans4Care: Personalized Dementia Care on Demand,https://clinicaltrials.gov/study/NCT07115251,NOT_YET_RECRUITING,Dementia|Dementia Alzheimer Type|Alzheimer Dementia (AD)|Memory Loss,BEHAVIORAL: Plans4Care,Plans4Care Inc,Drexel University|Thomas Jefferson University|National Institute on Aging (NIA),INTERVENTIONAL
NCT02322021,"Dose-Finding Study To Evaluate Safety, Tolerability, and Efficacy of E2609 in Participants With Mild Cognitive Impairment Due to Alzheimer's Disease (Prodromal Alzheimer's Disease) and Mild to Moderate Dementia Due to Alzheimer's Disease",https://clinicaltrials.gov/study/NCT02322021,TERMINATED,"Alzheimer Disease|Dementia, Alzheimer Type",DRUG: E2609|DRUG: Placebo,Eisai Inc.,Biogen,INTERVENTIONAL
NCT00165659,"A Multi-Center, Randomized, Double-Blind, Parallel Group Study With 3 Groups Receiving Placebo, 5 mg of E2020 and 10 mg of E2020",https://clinicaltrials.gov/study/NCT00165659,COMPLETED,Alzheimer Disease,DRUG: DONEPEZIL HYDROCHLORIDE,Eisai Limited,,INTERVENTIONAL
NCT05189132,Periodonitis and Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05189132,UNKNOWN,Alzheimer Disease|Periodontitis,DIAGNOSTIC_TEST: Periodontal Diagnosis|DIAGNOSTIC_TEST: Microbiological analysis|DIAGNOSTIC_TEST: Inflammatory mediators,University of Lisbon,,OBSERVATIONAL
NCT07127510,Brain NAD in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07127510,RECRUITING,Alzheimer Disease (AD),,Florida Atlantic University,,OBSERVATIONAL
NCT03784300,A Safety Study of PTI-125 in Healthy Volunteers,https://clinicaltrials.gov/study/NCT03784300,COMPLETED,"Alzheimer Disease, Early Onset|Alzheimer Disease",DRUG: 50 mg PTI-125|DRUG: 100 mg PTI-125|DRUG: 200 mg PTI-125,Pain Therapeutics,National Institute on Aging (NIA),INTERVENTIONAL
NCT06620640,A Study Evaluating the Efficiency and Safety for the VGuard Device in Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT06620640,COMPLETED,Alzheimer Disease (AD),"DEVICE: Intervention will most probably modify activity of neuron networks in specific brain areas responsible for cognitive functions, especially memory consolidation.",Neuromedical Sp. z o.o.,,INTERVENTIONAL
NCT07224607,Transcranial Photobiomodulation (tPBM) in Alzheimer's Disease Study,https://clinicaltrials.gov/study/NCT07224607,RECRUITING,Alzheimer's Disease,DEVICE: Photobiomodulation,Cedars-Sinai Medical Center,,INTERVENTIONAL
NCT06384573,DIAN-TU Amyloid Removal Trial (ART) in Dominantly Inherited Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06384573,ACTIVE_NOT_RECRUITING,"Alzheimer's Disease|Dementia|Alzheimer's Disease, Familial",DRUG: lecanemab,Washington University School of Medicine,Alzheimer's Association|Eisai Inc.,INTERVENTIONAL
NCT07210528,Safety Of Nrtis for Alzheimer's Therapeutic Advancement in Singapore Study,https://clinicaltrials.gov/study/NCT07210528,RECRUITING,Mild Cognitive Impairment (MCI)|Alzheimer Dementia (AD),"DRUG: Emtricitabine (FTC)|DRUG: Descovy® (TAF/FTC)|DRUG: Placebo to Match Emtricitabine 200mg/Tenofovir Alafenamide 25 mg.|DRUG: Placebo Capsules to Match Emtricitabine Capsules, 200mg.","National University Hospital, Singapore",,INTERVENTIONAL
NCT02263235,In Vivo Alzheimer Proteomics,https://clinicaltrials.gov/study/NCT02263235,TERMINATED,Probable Alzheimer Disease|Parkinson Disease|Neurological Disease Without Cognitive Degradation|Brain Trauma|Acute Hydrocephaly,"BIOLOGICAL: administration of stable isotope-labelled leucine-|OTHER: collection of CSF, blood, urine, saliva","University Hospital, Montpellier","Assistance Publique - Hôpitaux de Paris|University Hospital, Clermont-Ferrand|International Atomic Energy Agency",INTERVENTIONAL
NCT06810960,A Postmarketing Study of LEQEMBI in South Korean Participants With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06810960,RECRUITING,Alzheimer's Disease,OTHER: No Intervention,Eisai Korea Inc.,,OBSERVATIONAL
NCT07431255,Generation of Synthetic [18F]FDG PET From Early-Phase Amyloid PET in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07431255,NOT_YET_RECRUITING,Alzheimer Disease (AD),,IRCCS San Raffaele,,OBSERVATIONAL
NCT01461109,"Research Involving Subjects With Parkinson's Disease, Alzheimer Disease and Healthy Controls",https://clinicaltrials.gov/study/NCT01461109,COMPLETED,Parkinson Disease|Alzheimer Disease,DRUG: [18F] CFPyPB,Institute for Neurodegenerative Disorders,,INTERVENTIONAL
NCT07258004,An Investigation Into the Feasibility of Beetroot Juice Supplementation in People Living With Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT07258004,NOT_YET_RECRUITING,Alzheimer's Disease,DIETARY_SUPPLEMENT: Beetroot juice,University of the West of Scotland,NHS Lanarkshire,INTERVENTIONAL
NCT07094516,A Clinical Trial to Learn About the Effects of VHB937 in People With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07094516,RECRUITING,Alzheimer's Disease,BIOLOGICAL: VHB937|BIOLOGICAL: VHB937|OTHER: Placebo,Novartis Pharmaceuticals,,INTERVENTIONAL
NCT06602258,A Study of E2814 With Concurrent Lecanemab Treatment in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06602258,ACTIVE_NOT_RECRUITING,Alzheimer's Disease,DRUG: E2814|DRUG: Lecanemab|DRUG: Placebo,Eisai Inc.,,INTERVENTIONAL
NCT01825317,Effect of NeuroAD on Alzheimer Patients,https://clinicaltrials.gov/study/NCT01825317,COMPLETED,Alzheimer's Disease,DEVICE: NeuroAD|DEVICE: Sham device,Neuronix Ltd,company: K The Power|Chungnam National University Hospital,INTERVENTIONAL
NCT05078944,Progress of Mild Alzheimer's Disease in Participants on Acupuncture Versus Sham Acupuncture,https://clinicaltrials.gov/study/NCT05078944,COMPLETED,Alzheimer Disease 1,DEVICE: Active acupuncture|DEVICE: Sham acupuncture|DRUG: Donepezil Hydrochloride,"Shanghai Institute of Acupuncture, Moxibustion and Meridian",,INTERVENTIONAL
NCT07091747,Use of a Product Containing the Cannabinoids CBD and THC as a Treatment Strategy for Alzheimer's Disease - Alzheimer's Disease and Cannabis Clinical Trial (DAZACANN) Open-Label Phase,https://clinicaltrials.gov/study/NCT07091747,ACTIVE_NOT_RECRUITING,Alzheimer Disease (AD),OTHER: Cannabis 50 mg of CBD and 5 mg of THC,Federal University of Latin American Integration,Conselho Nacional de Desenvolvimento Científico e Tecnológico,INTERVENTIONAL
NCT06322667,A Post Marketing Study in Participants With Early Alzheimer's Disease Treated With Lecanemab,https://clinicaltrials.gov/study/NCT06322667,RECRUITING,Alzheimer's Disease,OTHER: No Intervention,"Eisai Co., Ltd.",,OBSERVATIONAL
NCT03441516,Effect of Choline Alphoscerate on Cognitive Function in Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT03441516,UNKNOWN,Alzheimer's Disease,DRUG: Alfoatirin® Tab. + Aripezil® Tab.|DRUG: Aripezil® Tab.,Yuhan Corporation,,INTERVENTIONAL
NCT03393546,Auricular Point Acupressure to Manage Pain in Patients With Alzheimer's Disease and Related Disorders,https://clinicaltrials.gov/study/NCT03393546,TERMINATED,Pain|Alzheimer Disease,BEHAVIORAL: Auricular Point Acupressure,Johns Hopkins University,National Institute on Aging (NIA),INTERVENTIONAL
